MD_ft,Inc_deg,IncAvg_deg,dW_lb,N_lb,Ff_lb,dT_ftlbf,cumDrag_lb,cumTorque_ftlbf,HL_PU_lb,HL_SO_lb
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0,0.0,17280.916,0.0,0.0,0.0,0.0,0.0,17280.916,17280.916
2000,0,0.0,17280.916,0.0,0.0,0.0,0.0,0.0,34561.8321,34561.8321
3000,6,3.0,17280.916,904.4133,228.3643,41.1056,228.3643,41.1056,52047.4295,51590.7008
4000,12,9.0,17280.916,2703.3309,682.591,122.8664,910.9554,163.972,69798.1799,67976.2691
5000,22,17.0,17280.916,5052.4509,1275.7438,229.6339,2186.6992,393.6059,87599.7459,83226.3474
6000,35,28.5,17280.916,8245.7405,2082.0495,374.7689,4268.7487,768.3748,104868.5601,96331.0627
7000,50,42.5,17280.916,11674.8176,2947.8915,530.6205,7216.6402,1298.9952,120557.2793,106123.999
8000,68,59.0,17280.916,14812.6361,3740.1906,673.2343,10956.8308,1972.2295,133197.7997,111284.1381
9000,82,75.0,17280.916,16692.0831,4214.751,758.6552,15171.5818,2730.8847,141885.1808,111542.0173
10000,88,85.0,17280.916,17215.1569,4346.8271,782.4289,19518.4089,3513.3136,147738.139,108701.3212
11000,90,89.0,17280.916,17278.2841,4362.7667,785.298,23881.1756,4298.6116,152402.4993,104640.1481
