MD_ft,Inc_deg,Az_deg,beta_deg,RF,dTVD_ft,dN_ft,dE_ft,TVD_ft,N_ft,E_ft,DLS_deg100ft
0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0,0,0.0,1.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0
2000,0,0,0.0,1.0,1000.0,0.0,0.0,2000.0,0.0,0.0,0.0
3000,6,35,6.0,1.000915,998.1733,42.8515,30.005,2998.1733,42.8515,30.005,0.6
4000,12,40,6.045161,1.000929,987.2508,122.5609,96.889,3985.424,165.4124,126.8939,0.604516
5000,22,48,10.247075,1.002674,955.2132,205.5132,206.5659,4940.6372,370.9256,333.4598,1.024707
6000,35,60,14.146323,1.005111,877.6308,270.098,389.5402,5818.268,641.0236,723.0,1.414632
7000,50,72,16.996187,1.007398,736.3776,263.6909,617.174,6554.6456,904.7145,1340.174,1.699619
8000,68,82,19.903723,1.010179,513.8753,184.7415,831.7372,7068.5209,1089.456,2171.9112,1.990372
9000,82,89,15.538236,1.006174,258.4759,73.6125,960.03,7326.9968,1163.0685,3131.9412,1.553824
10000,88,90,6.082062,1.00094,87.1181,8.6494,995.6892,7414.1149,1171.7179,4127.6304,0.608206
11000,90,90,2.0,1.000102,17.4515,0.0,999.7969,7431.5664,1171.7179,5127.4273,0.2
